ticket_id,created_at_unix,event_id,perf_date,perf_time,venue,status,price,quantity,delivery_method,ticket_type,name_type,raw_description,first_observed_at,last_observed_at,sold_at,details_fetched,year_month
sold_key-to-lit-arena-tour-2026-neo-classics_1780065012954_16000,1780065012954,key-to-lit-arena-tour-2026-neo-classics,2026-10-09,18:00,セキスイハイムスーパーアリーナ,sold,16000,2,公演前日までにログイン情報共有,electronic,female,"未入金のためチケ代支払い可能な方優先

支払い可能な方は上記の金額から定価を引いた額で取引させていただきます。
価格交渉可能
初期当選/該当名義/下3桁提示可能...",2026-05-29 14:30:12,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780074188281_8273,1780074188281,key-to-lit-arena-tour-2026-neo-classics,2026-10-09,18:00,セキスイハイムスーパーアリーナ,sold,8273,2,同行,electronic,female,"座席未定 ランダム配布 条件あり 座席選択不可 代理購入不可 

 ランダム配布になりますので最後までご理解いただきご購入ください。  

・複数名義所持してお...",2026-05-29 17:03:08,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780069090398_17000,1780069090398,key-to-lit-arena-tour-2026-neo-classics,2026-10-09,18:00,セキスイハイムスーパーアリーナ,sold,17000,2,公演日の前日までにログイン情報,electronic,female,"女性名義/初期当選/下3桁提示可能/該当名義

QRごとのお譲り。公演前日までにログイン情報をお伝えしますので、そちらでQR表示の上入場ください。
入場後速やか...",2026-05-29 15:38:10,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
1dtz9vp3mi,1780074094861,key-to-lit-arena-tour-2026-neo-classics,2026-10-09,18:00,セキスイハイムスーパーアリーナ,listing,18000,1,同行,electronic,female,"座席未定 ランダム配布 条件あり 座席選択不可 代理購入不可 

 ランダム配布になりますので最後までご理解いただきご購入ください。  

・複数名義所持してお...",2026-05-29 17:01:34,2026-08-27 07:17:28,,False,2026-05
y8eneqhhzf,1780074139005,key-to-lit-arena-tour-2026-neo-classics,2026-10-09,18:00,セキスイハイムスーパーアリーナ,listing,16000,1,同行,electronic,female,"座席未定 ランダム配布 条件あり 座席選択不可 代理購入不可 

 ランダム配布になりますので最後までご理解いただきご購入ください。  

・複数名義所持してお...",2026-05-29 17:02:19,2026-08-27 07:17:28,,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780042628141_25000,1780042628141,key-to-lit-arena-tour-2026-neo-classics,2026-10-09,18:00,セキスイハイムスーパーアリーナ,sold,25000,1,同行,electronic,female,"初期当選同行/該当名義/変更ボタンあり/下3桁提示可/同行者登録可/佐々木担不可

開場10分前に集合し同時入場していただきます。連番内の座席はこちらで決めさせ...",2026-05-29 08:17:08,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780046861929_13000,1780046861929,key-to-lit-arena-tour-2026-neo-classics,2026-10-09,18:00,セキスイハイムスーパーアリーナ,sold,13000,2,公演日前日にログイン情報共有,electronic,female,"非該当名義　初期当選
公演前日にログイン情報をお伝えします。その際、買手様で同行者登録もお願いいたします。公演当日は入場後速やかにログアウトとアプリ上での受取り...",2026-05-29 09:27:41,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780222060227_6000,1780222060227,key-to-lit-arena-tour-2026-neo-classics,2026-10-10,12:30,セキスイハイムスーパーアリーナ,sold,6000,1,同行,electronic,female,【入場時ランダムエラーの場合の全額返金保証、指定席のみ】指定席の中からランダムのお渡しとなり、購入者様の座席選択権はありませんことご理解下さい。(連番での落札は...,2026-05-31 10:07:40,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
6nebpoc6gx,1780110356254,key-to-lit-arena-tour-2026-neo-classics,2026-10-10,12:30,セキスイハイムスーパーアリーナ,listing,70000,2,同行,electronic,female,"4名義中2番手、下3桁提示可能、全て該当有効期限内
⭐️公演当日は会場付近で待ち合わせをし、同時入場していただきます。
⭐️詳しい待ち合わせ時間や場所等はお取引...",2026-05-30 03:05:56,2026-08-27 07:17:28,,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780065992138_0,1780065992138,key-to-lit-arena-tour-2026-neo-classics,2026-10-10,12:30,セキスイハイムスーパーアリーナ,sold,0,2,同行,electronic,female,"4名義中4番手
初期当選/該当名義/変ボあり/有効期限内/すり替えなし/下3桁提示可

同時入場後当方が座席選択次第、4名義中4番手のチケットをお渡ししますので...",2026-05-29 14:46:32,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780044114159_22000,1780044114159,key-to-lit-arena-tour-2026-neo-classics,2026-10-10,12:30,セキスイハイムスーパーアリーナ,sold,22000,1,同行,electronic,female,"初期当選同行、非該当名義、下3桁提示可、同行者登録可、佐々木担不可

同行募集です。開場10分前に集合し同時入場していただきます。連番内での座席はこちらで決めさ...",2026-05-29 08:41:54,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780030623284_30000,1780030623284,key-to-lit-arena-tour-2026-neo-classics,2026-10-10,12:30,セキスイハイムスーパーアリーナ,sold,30000,2,公演日前日にログイン情報共有,electronic,female,"初期当選 下3桁提示可 すり替えなし 有効期限内 該当名義 着ブロ指定なし 同一クレカ決済、過去エラーなし 同行者登録可

公演日前日にログインに必要な情報を連...",2026-05-29 04:57:03,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780074408063_8273,1780074408063,key-to-lit-arena-tour-2026-neo-classics,2026-10-10,12:30,セキスイハイムスーパーアリーナ,sold,8273,2,同行,electronic,female,"座席未定 ランダム配布 条件あり 座席選択不可 代理購入不可 

 ランダム配布になりますので最後までご理解いただきご購入ください。  

・複数名義所持してお...",2026-05-29 17:06:48,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780208199361_5000,1780208199361,key-to-lit-arena-tour-2026-neo-classics,2026-10-10,12:30,セキスイハイムスーパーアリーナ,sold,5000,2,ランダム配布,electronic,female,"日本語が通じる方のみ。

公演当日、開場30分前(11時半開場の場合11時)に会場にてお待ち合わせをお願い致します。遅刻厳禁になりますので、お時間に余裕のある方...",2026-05-31 06:16:39,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
